date,open,high,low,close,volume,sma,rsi,sma_200,distance_from_sma_200,volatility_100,position_in_200_range
2023-10-27,34064,34283,33415,33688,17712548549.578587,30945.916666666668,75.20907314248902,28160.935,0.19626709837581738,0.020305050463096608,0.8888206388206388
2023-10-28,33688,34445,33688,34124,14148818689.499771,31417.5,76.49740694027281,28180.735,0.21089815435970705,0.02030505886245948,0.9334561834561834
2023-10-29,34124,34748,33954,34580,8431785274.868206,31922.416666666668,77.79700833494897,28204.63,0.22603983814005002,0.020337260600938337,0.9801392301392301
2023-10-30,34580,34842,34110,34447,10359013389.425524,32437.833333333332,76.46884826749655,28225.05,0.22044070781096936,0.02034254616783366,0.9665233415233415
2023-10-31,34447,34610,34067,34545,17075173423.648045,32919.5,76.78336654234863,28246.04,0.22300329532918592,0.020331890983348085,0.9765561015561015
2023-11-01,34545,35184,34142,34567,16419150928.652369,33335.25,76.85814597037896,28267.09,0.2228708367221387,0.020036244277012644,0.9788083538083538
2023-11-02,34567,35939,34337,34996,18642295524.912045,33737.166666666664,78.32428647327792,28290.41,0.23702696426103403,0.020063241557433494,1.0
2023-11-03,34997,35104,34126,34546,20690186421.955303,34128.083333333336,73.09317276478194,28315.715,0.22002923111777328,0.020112034374992257,0.954954954954955
2023-11-04,34546,34952,34512,34758,17254049537.002068,34408.5,73.97502548049297,28338.31,0.22653750347144902,0.020090348965582525,0.9761761761761761
2023-11-05,34758,35327,34742,35040,10001404422.938835,34510.916666666664,75.1420931891049,28367.315,0.23522441232101104,0.020096664138177945,1.0
2023-11-06,35040,35371,34570,35027,12796779677.519655,34532.0,74.97517557871903,28401.95,0.2332603923322166,0.020097731583787474,0.998704405022922
2023-11-07,35027,35894,34546,35685,12717348149.539808,34666.916666666664,77.67800757221396,28443.97,0.25457170711402094,0.02015503829204955,1.0
2023-11-08,35683,35761,35146,35629,18582602380.374496,34828.666666666664,76.91660396554644,28483.97,0.2508438957069537,0.02015441765503113,0.9947560633018073
2023-11-09,35628,37960,35413,36556,14717120833.223528,35031.333333333336,80.35021466097538,28529.365,0.2813464302482722,0.020293789039610436,1.0
2023-11-10,36556,37458,36360,37259,38190964507.15763,35254.583333333336,82.47873184632603,28578.76,0.30373046276325505,0.020351050708946244,1.0
2023-11-11,37259,37520,36937,37015,23152060053.421646,35468.583333333336,79.26919061574614,28625.72,0.2930679123529469,0.020371104996934623,0.980086509426263
2023-11-12,37015,37231,36766,37146,12033297219.971031,35685.333333333336,79.72535399492574,28671.895,0.29555440964052077,0.020336685604878734,0.9907777687097038
2023-11-13,37146,37419,36593,36778,8831221164.408867,35869.583333333336,74.74943523823917,28707.37,0.2811344264556454,0.020375391355224797,0.9607443075165266
2023-11-14,36779,36792,34971,35287,18041088204.36723,35893.833333333336,58.75015777733038,28737.095,0.22792509124530502,0.020825700432571634,0.8390598220843875
2023-11-15,35286,37855,35232,37562,22330924588.059715,36145.166666666664,69.48314604254134,28778.595,0.30520617841141995,0.021737919283721065,1.0
2023-11-16,37562,37964,35534,35948,28479730068.295124,36244.333333333336,57.960830259107674,28811.435,0.24769904727064093,0.022079842823102703,0.8714558776680471
2023-11-17,35948,36684,35849,36501,12023334732.149555,36366.083333333336,60.38480653420298,28854.695,0.26499344387455837,0.022040051560685257,0.9154985664224276
2023-11-18,36501,36841,36226,36619,22683923623.96373,36498.75,60.902843753838795,28894.24,0.2673460177530192,0.02203889575844155,0.9248964638419879
2023-11-19,36619,37037,36416,36936,8877846889.346693,36603.0,62.32805475844522,28937.205,0.2764190598228128,0.022044518620866153,0.9501433577572476
2023-11-20,36935,37766,36843,37573,12599067947.734495,36765.0,65.08254614428196,28980.58,0.2964888901464359,0.02209320437274753,1.0
2023-11-21,37573,37656,36296,36942,16005284775.311718,36797.166666666664,60.37338543103759,29017.4,0.27309821003949347,0.02217826238779452,0.9497891302617968
2023-11-22,36943,37636,35675,37635,18891503534.641026,36828.5,63.497256113570366,29061.065,0.2950316858656075,0.02222917184508862,1.0
2023-11-23,37635,37855,36915,37289,25245202377.321384,36851.333333333336,60.91523637537824,29102.75,0.2812878508044772,0.022244805078321227,0.9726027397260274
2023-11-24,37289,38416,37230,37861,11956046626.60703,36910.916666666664,63.55376541719153,29155.33,0.2985961743530256,0.02227486289881151,1.0
2023-11-25,37861,37958,37619,37817,22996708651.54232,36997.5,63.200325954608076,29205.82,0.29484465767439505,0.02180583770060096,0.9965772073123298
2023-11-26,37817,37830,37178,37595,7505379785.011788,37189.833333333336,61.34658466969197,29255.245,0.2850687116105164,0.020687177886871775,0.9793076623881758
2023-11-27,37595,37755,36752,36816,10229112671.374176,37127.666666666664,55.22537006880856,29305.07,0.25630138402672303,0.020833082719305056,0.9187086736678335
2023-11-28,36816,38403,36805,38286,17979133247.880783,37322.5,62.77385570491402,29364.11,0.3038365542153329,0.021143254894152048,1.0
2023-11-29,38282,38385,37610,37651,19715537240.688644,37418.333333333336,58.20868823263703,29418.05,0.2798604938124723,0.02123673659280909,0.952183734939759
2023-11-30,37651,38146,37523,37758,20964545194.804527,37513.25,58.753021386305065,29472.38,0.2811316900772859,0.02117219069974518,0.9602409638554217
2023-12-01,37758,38984,37627,38770,16566770727.560837,37666.083333333336,63.584170170303906,29529.155,0.31293970315100456,0.02108807847849624,1.0
2023-12-02,38770,39610,38664,39552,24470176251.56647,37831.0,66.81837041662666,29592.21,0.3365679683943849,0.02096502213629927,1.0
2023-12-03,39554,39830,39307,39585,14892418344.328642,38051.25,66.95175846585786,29653.26,0.33492911066102016,0.020958414527972296,1.0
2023-12-04,39585,42140,39585,41775,14107800648.629309,38396.25,74.32745437487563,29728.345,0.40522454243584694,0.02156617074444017,1.0
2023-12-05,41774,44080,41419,43772,40273974905.38232,38936.5,78.9425356566976,29813.005,0.4682183161341837,0.021986413444696366,1.0
2023-12-06,43771,44445,43429,43803,37740677039.99004,39431.666666666664,79.00562871880916,29896.655,0.4651471878710177,0.021966238288182723,1.0
2023-12-07,43803,44039,42879,43241,30306637687.60117,39883.666666666664,74.63943329506057,29978.3,0.4424100099071662,0.02098680044616773,0.9701016119593552
2023-12-08,43241,44428,43113,44393,27712048105.023373,40450.166666666664,77.39692100993769,30065.985,0.47651906298762536,0.020899165692868846,1.0
2023-12-09,44394,44724,43767,43993,24726661392.984177,41048.25,74.37305563037765,30149.975,0.45913885500734253,0.020501279963484192,0.979367617475628
2023-12-10,43993,44078,43622,43956,17074228506.041449,41520.75,74.08472296538282,30238.54,0.4536416110037058,0.02034257111089753,0.9774591220921236
2023-12-11,43956,44042,40219,40804,11865167562.179708,41783.5,54.64804565814091,30310.19,0.34621393003475076,0.021760008513398443,0.8148759478000722
2023-12-12,40804,42067,40662,41215,39734542163.66172,42071.583333333336,56.25949784532801,30382.375,0.35654306156118476,0.021765672263189897,0.8360757208438645
2023-12-13,41214,42889,40658,42888,24919333990.62709,42414.75,62.15438841891161,30463.095,0.40786745404562463,0.022035268845819436,0.9223706607520503
2023-12-14,42888,43430,41739,42933,26301358636.124893,42696.5,62.30155752328728,30540.085,0.40579176515062093,0.02199842548087607,0.9246918037860422
2023-12-15,42934,43176,41684,42245,22978695605.48269,42918.166666666664,58.55262116105554,30613.07,0.3799661386460097,0.022094244197123913,0.8892041058441223
2023-12-16,42244,42665,41681,42302,17134765249.072596,42962.083333333336,58.77395708921189,30685.31,0.3785749598097591,0.022094978387685482,0.8921442203538453
2023-12-17,42302,42360,41564,42077,13524832238.374014,42820.833333333336,57.46933900791541,30760.62,0.3678853027019612,0.022114377515247825,0.8805385051838861
2023-12-18,42077,42077,40522,41941,16536428696.461372,42665.666666666664,56.65078847754983,30836.005,0.3601307951532632,0.02212296141714161,0.8735234951255997
2023-12-19,41941,43409,41815,42211,26473040426.60815,42579.833333333336,57.93185646390456,30910.865,0.36557162020538725,0.02210960642902791,0.8874503533295507
2023-12-20,42210,44286,42199,43453,23402523667.558952,42501.5,63.30404974471082,30992.59,0.40204481135652104,0.021939765115573977,0.9515139010677258
2023-12-21,43454,44244,43318,43776,28334648885.87903,42483.416666666664,64.57117808252477,31075.37,0.40870406370060924,0.021621221688617465,0.9681745499561561
2023-12-22,43776,44396,43435,43685,21948638202.58336,42460.833333333336,63.901696846854364,31165.655,0.4017032531483776,0.02163309100388917,0.9634806829318615
2023-12-23,43685,44069,43349,43732,20833936534.62855,42704.833333333336,64.10867776352808,31248.825,0.399476620320924,0.021584717570401535,0.9659049878784752
2023-12-24,43732,43952,43447,43530,9872050975.657969,42897.75,62.45129372289793,31334.025,0.38922465275367585,0.021550703109572165,0.9554856347036674
2023-12-25,43530,43788,42716,43422,18313974069.82276,42942.25,61.53530991927951,31418.41,0.38205593472107596,0.021564515494316913,0.949914891422087
2023-12-26,43422,43718,41689,42154,18744716867.39297,42877.333333333336,51.90882499937245,31497.17,0.33834246060836587,0.021828355242300108,0.8845102388198277
2023-12-27,42154,43562,42123,43498,20477744539.87234,42981.75,59.19531069326473,31585.945,0.377131505801077,0.021983383206971005,0.9538350441017176
2023-12-28,43498,43812,42314,42521,23244754807.44397,43000.0,52.91848447670845,31668.325,0.34269810607286616,0.02213756615276908,0.9034404497859391
2023-12-29,42521,43121,41689,42023,20336573643.81929,42995.5,50.007705743566575,31749.315,0.32358761126027447,0.022152629866927735,0.8777531335430959
2023-12-30,42023,42581,41386,42283,24832397519.050613,43024.0,51.507410804548556,31831.275,0.32834767064781406,0.0220864877207614,0.8911641821839377
2023-12-31,42283,42844,41990,42537,14727224645.41767,43051.166666666664,52.99105031054378,31914.615,0.33283763567255936,0.022073955385342296,0.9042657450869139
2024-01-01,42537,43830,42084,43683,14183728910.169804,43070.333333333336,59.074898461444484,32005.88,0.36484296010608047,0.022181783622066194,0.9633775210192397
2024-01-02,43683,45913,43413,44818,16958999497.58364,43157.166666666664,64.03884782765147,32098.115,0.3962813704169232,0.022249137907177027,1.0
2024-01-03,44818,45490,40838,42740,39089952715.54279,43078.416666666664,51.679621929320895,32179.47,0.32817600787085677,0.022826153429343955,0.8951140722794266
2024-01-04,42739,44640,42624,44180,43146162597.56747,43115.75,57.76297120983628,32267.145,0.3691945785721048,0.0229864560872271,0.9677972945689481
2024-01-05,44180,44781,42708,43997,26123887042.79777,43154.666666666664,56.784572058997206,32353.785,0.35987180479810943,0.0230001639164931,0.9585604684029881
2024-01-06,43997,44318,43467,43856,29364675804.010384,43190.833333333336,55.99754755150184,32433.07,0.35220008466666897,0.022847334919568498,0.9514435695538058
2024-01-07,43856,44487,43780,44158,11841102132.239351,43357.833333333336,57.36068798934549,32503.26,0.3585714171440035,0.022816483560471855,0.966686856450636
2024-01-08,44158,47257,43240,46799,15144653805.362787,43632.916666666664,66.99103210905983,32586.11,0.43616405885820675,0.023459929253827193,1.0
2024-01-09,46800,47228,45808,46651,40821502383.50064,43977.083333333336,66.09019422253661,32664.85,0.4281712605445916,0.023475057317091798,0.9932088285229203
2024-01-10,46651,47902,44386,46159,39887918405.77868,44321.75,63.05465933538071,32742.445,0.40976032791686756,0.02338064405925957,0.9706327719910063
2024-01-11,46159,49042,45227,46221,52030057180.57072,44649.916666666664,63.283519661949036,32821.435,0.40825652504224763,0.023182635253453182,0.9734777222043776
2024-01-12,46220,46498,43196,43656,49198128806.306175,44743.166666666664,49.59567651463222,32888.37,0.3273993207933381,0.02395871063569201,0.8557793786995824
2024-01-13,43656,43845,41595,42861,45913301456.05085,44674.666666666664,46.25619716352462,32949.28,0.3008174988952718,0.024049643188285705,0.8192997751571606
2024-01-14,42861,43057,42336,42491,19424747840.478382,44480.75,44.74608479768103,33011.215,0.2871686183013865,0.024050740631098605,0.802321846464461
2024-01-15,42491,43313,41696,42895,16968959097.076525,44493.666666666664,46.78879499424782,33072.725,0.29699019358096446,0.024043530726292908,0.8208599091451384
2024-01-16,42895,43383,42076,43170,22634527323.56315,44409.5,48.19280370344274,33136.58,0.30278984735298564,0.024041158744874818,0.8334786399302528
2024-01-17,43171,43558,42186,42648,22023116042.27529,44297.083333333336,45.72644285067761,33196.75,0.2847040749470957,0.0240518249466276,0.8095259945854173
2024-01-18,42646,42873,40618,40786,21299064875.187115,44041.25,38.21386121134561,33247.89,0.22672446281553507,0.02450253439895951,0.7240857155967513
2024-01-19,40776,42132,40280,41513,25160430945.28984,43820.833333333336,42.206329553993385,33299.145,0.2466686456964587,0.024378648589266867,0.7574450511632176
2024-01-20,41515,41770,41436,41714,24407872954.726807,43397.083333333336,43.29726921400374,33354.18,0.2506378510879296,0.02436932621876856,0.7666681962097921
2024-01-21,41715,41848,41525,41626,9533488489.00503,42978.333333333336,42.9153213198749,33410.125,0.24590973544696407,0.024377908807255086,0.7626302023585555
2024-01-22,41627,41770,39424,40123,8032696833.695371,42475.333333333336,36.92410995657521,33459.18,0.19916268121334713,0.02471732833051067,0.6936631028311844
2024-01-23,40124,40138,38515,39162,31202848830.101707,41887.083333333336,33.685937314353396,33503.81,0.16888198685462946,0.0248772696460713,0.6495663745239297
2024-01-24,39159,40502,39043,39563,29683327703.0343,41546.0,36.200223946493374,33551.035,0.17918865990274208,0.024397985468130556,0.6679667783233149
2024-01-25,39553,40266,39468,39766,22217129215.385586,41288.083333333336,37.49227359459927,33598.62,0.18356051528306808,0.02439790986515379,0.6772816959574175
2024-01-26,39769,42213,39769,41975,13376924612.77818,41245.083333333336,49.48158243124167,33654.31,0.24723995232705714,0.024908686416119288,0.7786445188822099
2024-01-27,41975,42065,41409,42056,22681602408.52447,41175.166666666664,49.86134062122034,33711.655,0.24752107245995492,0.024872148183850723,0.7823613086770982
2024-01-28,42056,42809,41686,41943,10694258830.371908,41072.916666666664,49.304511197494705,33769.97,0.24202064733844889,0.024760876671095534,0.7771761574817602
2024-01-29,41943,43292,41659,43158,13669905344.783924,41115.416666666664,55.109426605527936,33827.44,0.2758281442521219,0.024835499674476465,0.8329280044050842
2024-01-30,43158,43834,43077,43560,20680322267.00365,41346.583333333336,56.86916809653205,33894.645,0.285158761804409,0.024798319719267513,0.8513742944982334
2024-01-31,43560,43726,42342,42519,24526664209.3586,41430.416666666664,51.264850064975896,33955.535,0.2521964386660377,0.024486166181124043,0.8036066626898546
2024-02-01,42519,43251,41872,42979,22197944957.07849,41535.833333333336,53.44796381268834,34019.07,0.2633796279557319,0.023341918899212295,0.8247143578213187
