Date,Open,High,Low,Close,Volume
2024-07-23,"68,249","68,285","65,483","65,495",43157593651.80313
2024-07-24,"65,496","67,091","65,487","65,668",36100536095.18872
2024-07-25,"65,668","66,058","63,461","64,680",28680123269.715443
2024-07-26,"64,680","68,132","64,436","68,014",35836896135.542854
2024-07-27,"68,014","69,404","67,438","68,275",30821370069.20628
2024-07-28,"68,276","69,103","66,723","68,123",30976752616.761925
2024-07-29,"68,123","69,990","66,525","67,267",17175244020.36542
2024-07-30,"67,267","67,538","65,566","65,864",42529043667.45024
2024-07-31,"65,862","66,796","65,002","65,238",28892376510.689587
2024-08-01,"65,239","65,358","62,255","63,379",31403681581.19408
2024-08-02,"63,380","65,538","62,436","62,574",38911302447.60912
2024-08-03,"62,572","63,094","59,916","60,212",39004321616.3716
2024-08-04,"60,212","61,053","57,284","59,249",32885545023.71265
2024-08-05,"59,248","59,519","49,314","53,461",33664501541.451115
2024-08-06,"53,462","57,053","53,462","56,805",120245972389.37172
2024-08-07,"56,803","57,704","54,694","54,747",52620100833.47091
2024-08-08,"54,747","59,852","54,614","59,396",41605918903.41173
2024-08-09,"59,400","62,622","59,350","60,691",49201548320.290726
2024-08-10,"60,692","61,444","59,996","61,027",33804208928.47938
2024-08-11,"61,027","61,743","59,589","59,651",13418919090.197285
2024-08-12,"59,650","60,638","57,702","59,034",21715994493.45689
2024-08-13,"59,035","61,573","58,503","60,860",39403296385.84335
2024-08-14,"60,858","61,664","58,757","58,913",31955576195.24629
2024-08-15,"58,912","59,834","56,753","57,057",28079911397.67297
2024-08-16,"57,057","59,839","56,222","59,736",33490251842.381622
2024-08-17,"59,733","59,733","58,775","59,479",30368238897.20717
2024-08-18,"59,479","60,235","59,181","59,699",12467437134.05582
2024-08-19,"59,699","59,845","57,867","59,020",17656027563.72502
2024-08-20,"59,016","61,376","58,627","59,500",24031330179.25896
2024-08-21,"59,501","61,642","58,835","61,583",31470716090.619144
2024-08-22,"61,583","61,796","59,833","60,280",32960965010.60808
2024-08-23,"60,281","63,841","60,281","63,687",28170302505.847404
2024-08-24,"63,685","64,907","63,553","64,249",45038665759.42134
2024-08-25,"64,249","64,506","63,604","64,217",22029153446.35436
2024-08-26,"64,217","64,997","63,107","63,323",17875230147.044323
2024-08-27,"63,329","63,575","61,483","62,085",17894692681.091812
2024-08-28,"62,087","62,088","57,889","58,874",38131727427.91789
2024-08-29,"58,877","61,173","58,695","59,256",42018989572.42786
2024-08-30,"59,257","59,843","57,835","58,724",32563333956.986053
2024-08-31,"58,721","59,434","58,713","58,859",44038496614.94759
2024-09-01,"58,859","59,120","57,406","58,489",11399086336.303324
2024-09-02,"58,490","58,784","57,142","58,437",25465621877.97047
2024-09-03,"58,437","59,801","57,573","58,004",28012782290.96625
2024-09-04,"58,005","58,510","55,683","58,064",26829983370.35861
2024-09-05,"58,065","58,370","55,797","56,020",37550380696.7459
2024-09-06,"56,021","56,968","53,255","53,499",30005773445.69372
2024-09-07,"53,497","54,829","52,605","54,406",50260816556.81667
2024-09-08,"54,406","54,700","53,641","54,343",17048448412.007126
2024-09-09,"54,343","57,167","54,196","57,123",18644823662.23431
2024-09-10,"57,121","58,029","56,418","57,973",35655419448.07046
2024-09-11,"57,971","57,990","55,567","57,649",29676093302.30697
2024-09-12,"57,645","58,513","57,243","58,380",37765652735.2964
2024-09-13,"58,382","60,004","57,654","59,742",34177859933.02337
2024-09-14,"59,743","60,656","59,524","59,829",31919740723.76027
2024-09-15,"59,829","60,387","59,761","59,891",15800120841.166773
2024-09-16,"59,891","59,941","57,518","57,894",17289597542.866756
2024-09-17,"57,894","61,330","57,614","59,992",32196570894.402115
2024-09-18,"59,992","61,309","59,215","60,070",34191170117.78261
2024-09-19,"60,069","63,868","59,543","63,270",40445339415.1129
2024-09-20,"63,269","64,103","62,365","62,835",41959080716.28771
2024-09-21,"62,830","63,407","62,723","63,211",35587830476.533394
2024-09-22,"63,214","63,538","62,485","63,164",12938083115.659332
2024-09-23,"63,164","64,721","62,432","63,305",20349365412.816723
2024-09-24,"63,730","64,372","63,690","64,333",23998847798.757656
2024-09-25,"64,333","64,794","63,002","63,155",31490984593.70592
2024-09-26,"63,155","65,811","62,671","64,748",26087643765.748165
2024-09-27,"64,747","66,492","64,658","65,689",37995568903.94455
2024-09-28,"65,686","66,239","65,458","65,735",32664917503.931107
2024-09-29,"65,735","65,984","65,450","65,973",15342911002.84781
2024-09-30,"65,973","66,072","63,061","63,431",12948707838.93838
2024-10-01,"63,432","64,104","61,082","61,718",35124446789.27111
2024-10-02,"61,722","62,351","59,991","60,188",54251488433.95029
2024-10-03,"60,189","61,461","59,861","61,030",41870731291.86736
2024-10-04,"61,033","62,462","60,470","62,403",37711138441.76231
2024-10-05,"62,399","62,470","61,703","61,841",30349059838.68457
2024-10-06,"61,841","62,945","61,713","62,633",11095453162.990671
2024-10-07,"62,634","64,441","62,303","63,345",14592422860.685436
2024-10-08,"63,346","63,386","61,849","62,217",33878876147.30253
2024-10-09,"62,215","62,513","60,793","60,982",28626429276.55382
2024-10-10,"60,981","61,238","58,889","59,666",28530748117.898792
2024-10-11,"59,667","63,402","59,535","63,079",29481971885.649742
2024-10-12,"63,080","63,451","62,343","63,006",32008659336.482643
2024-10-13,"63,006","63,354","62,037","62,720",17665963646.417107
2024-10-14,"62,720","66,264","62,441","65,930",16784552979.060465
2024-10-15,"65,928","67,890","64,839","66,967",46553796134.14602
2024-10-16,"66,970","68,390","66,155","67,743",51797932876.82809
2024-10-17,"67,743","67,939","66,651","66,795",40640495380.19594
2024-10-18,"66,800","68,997","66,800","68,625",34512072357.92087
2024-10-19,"68,624","68,693","68,029","68,179",39984956633.22804
2024-10-20,"68,179","68,746","68,100","68,495",14110889435.452633
2024-10-21,"68,495","69,471","66,824","67,732",17253863432.786995
2024-10-22,"67,732","67,900","66,591","67,457",40485496091.95008
2024-10-23,"67,457","67,788","65,177","66,353",31398389967.38113
2024-10-24,"66,356","68,278","66,262","68,213",32676918488.059
2024-10-25,"68,218","68,796","65,897","66,726",35892606570.03549
2024-10-26,"66,727","67,264","65,537","67,086",48426924850.053406
2024-10-27,"67,086","67,889","66,858","67,750",21169467789.89267
2024-10-28,"67,750","69,865","67,549","69,588",16533385730.434193
2024-10-29,"69,587","73,595","69,428","72,532",41990540384.96554
2024-10-30,"72,531","72,952","71,425","71,822",65487782004.97014
2024-10-31,"71,824","72,905","69,942","69,948",43498144313.67304
2024-11-01,"69,949","71,588","68,783","69,267",45907074188.57015
2024-11-02,"69,261","69,869","68,835","69,504",54863092261.31101
2024-11-03,"69,504","69,550","67,471","68,935",14709379754.965973
2024-11-04,"68,935","69,438","67,248","67,290",37659435506.75704
2024-11-05,"67,292","70,520","66,807","69,443",46183110993.79166
2024-11-06,"69,442","76,481","68,914","76,232",40025021601.49395
2024-11-07,"76,225","76,952","74,488","76,618",128492534668.23853
2024-11-08,"76,613","77,276","75,554","76,784",66590396087.4524
2024-11-09,"76,775","76,821","75,778","76,330",50687468387.720375
2024-11-10,"76,330","81,074","76,271","79,002",31430906055.796104
2024-11-11,"79,002","87,491","78,553","87,115",93473126207.67863
2024-11-12,"87,105","89,995","85,157","89,525",133959805308.72511
2024-11-13,"89,530","93,445","86,270","89,801",152356811694.44943
2024-11-14,"89,801","91,773","87,563","87,565",136046309843.60645
2024-11-15,"87,568","91,487","86,706","91,487",99649391847.0836
2024-11-16,"91,487","91,881","90,117","90,799",84382485697.84985
2024-11-17,"90,799","91,428","89,432","89,636",49255174407.36877
2024-11-18,"89,636","92,594","88,743","91,574",48556083101.64749
2024-11-19,"91,573","94,039","90,323","92,607",77391724184.19348
2024-11-20,"92,601","94,963","91,517","94,379",80493234958.49161
2024-11-21,"94,377","99,028","93,885","98,334",80747272080.24826
2024-11-22,"98,326","99,768","97,229","99,291",118163852022.3175
2024-11-23,"99,292","99,489","97,256","97,828",85746174563.98602
2024-11-24,"97,828","98,657","95,795","96,884",47414200206.70341
2024-11-25,"96,884","98,966","94,491","94,856",50665680246.86775
2024-11-26,"94,859","95,134","90,755","90,982",89476321216.0935
2024-11-27,"90,981","97,366","90,784","96,626",97389239315.52954
2024-11-28,"96,625","96,712","94,688","94,825",81469353259.75
2024-11-29,"94,825","98,729","94,825","97,416",49067932024.40325
2024-11-30,"97,416","97,557","96,152","97,030",74670031635.5065
2024-12-01,"97,030","97,567","95,768","97,137",43580019720.72064
2024-12-02,"97,137","98,187","94,491","95,673",49147687432.565895
2024-12-03,"95,675","96,281","93,609","95,674",101019861361.49252
2024-12-04,"95,672","99,219","94,679","98,972",87935752287.975
2024-12-05,"98,975","103,853","97,658","99,137",98230784298.0459
2024-12-06,"99,137","102,085","92,251","101,581",190460293531.538
2024-12-07,"101,582","101,615","99,096","100,382",115812632020.44765
2024-12-08,"100,382","100,530","98,767","99,864",61061136199.7846
2024-12-09,"99,864","101,399","96,128","96,187",62677764785.05408
2024-12-10,"96,189","98,278","94,334","96,505",146846843211.51685
2024-12-11,"96,506","101,795","95,747","101,433",125835977742.51114
2024-12-12,"101,427","102,554","99,335","99,960",118484957960.76833
2024-12-13,"99,970","101,909","99,246","101,709",100092043319.8122
2024-12-14,"101,709","102,640","100,624","100,728",78802903278.85962
2024-12-15,"100,729","103,383","100,729","103,114",57321924844.41535
2024-12-16,"103,115","107,812","102,623","105,883",70645074624.52869
2024-12-17,"105,877","108,309","105,520","106,735",115184737759.33566
2024-12-18,"106,734","106,785","100,231","100,636",93417826250.1972
2024-12-19,"100,648","102,734","95,585","96,274",113692025885.44743
2024-12-20,"96,273","98,295","92,175","96,378",100611554887.24124
2024-12-21,"96,376","99,493","95,397","97,413",112340864006.62828
2024-12-22,"97,413","97,523","94,339","95,492",53058382639.48845
2024-12-23,"95,492","96,399","92,403","93,033",44619017105.36954
2024-12-24,"93,029","99,419","93,026","97,242",64937790292.61125
2024-12-25,"97,239","99,254","97,224","99,074",49169088282.15742
2024-12-26,"99,073","99,872","95,104","95,454",33963749856.44743
2024-12-27,"95,452","97,268","93,304","94,448",45049342388.18843
2024-12-28,"94,444","95,123","94,013","94,907",41498540807.66696
2024-12-29,"94,907","95,516","93,209","93,668",22429850903.940086
2024-12-30,"93,668","94,867","91,323","94,202",24065314499.50228
2024-12-31,"94,201","96,098","91,797","93,414",57595164139.4709
2025-01-01,"93,412","94,650","92,782","94,588",45327464907.74362
2025-01-02,"94,588","97,743","94,206","97,228",23275007789.49633
2025-01-03,"97,227","98,937","96,037","98,309",45157338602.61752
2025-01-04,"98,305","98,610","97,560","98,590",35721645948.10051
2025-01-05,"98,590","98,735","97,272","98,252",20979035420.9808
2025-01-06,"98,253","102,497","97,923","102,259",20060293834.7155
2025-01-07,"102,253","102,710","96,130","96,462",46111387334.46171
2025-01-08,"96,466","97,248","92,568","93,929",60610257147.15405
2025-01-09,"93,931","95,331","91,217","91,860",65790469838.34392
2025-01-10,"91,861","95,766","91,653","94,674",65850881574.76184
2025-01-11,"94,673","94,907","93,845","94,547",63433655716.757095
2025-01-12,"94,547","95,351","93,710","94,638",17836423168.41627
